kjopt_produkt,antall_likes_av_kattebilder,lengde_kundeforhold,antall_andre_produkter_kjopt,antall_nyhetsbrev_klikket,antall_annonser_klikket,dager_siden_siste_innlogging,antall_samtykker_gitt,personer_i_husstanden,alder,avstand_til_Butikken_utsalgssted
1,-1.6787857217288287,-0.5004194553465138,-2.430727279790297,1.818567361781551,2.7090867113637938,0.9334762570729108,0.9759266901906625,0.3642788596081808,0.2238396456996165,1.0000008636119584
1,-1.0239427996582204,-2.373528179058636,-1.9115824877228742,2.1789962118544546,2.424640838615919,0.7038301329233208,-1.3687732988721093,-1.7579429517063005,2.4255249324123866,0.9999991444044805
1,4.5984302893807065,4.654667283646345,-0.9575602770043352,-1.444286721582439,-1.809220338695078,1.4609847064115025,0.32808787231143577,-2.093686162746735,-1.2458979004850954,1.0000002204813327
1,0.40030431029049096,1.6783571266417314,1.065661285570517,0.12908178167721496,-1.4718175617510791,3.470952792014681,-0.15927343056155596,-1.0088909856268986,0.08322242612844301,0.9999992175880994
1,4.064010219223059,3.0776191132409165,0.3180008598337809,-1.2847992991616128,-1.5571071988337808,2.933672413890302,1.906303382528385,0.29721711130899064,,1.0000006585472687
1,0.9252032649616664,0.7226503139528349,-2.22798123197797,-1.0678456845783733,0.9346407632006815,-0.2042281379754587,1.3587970616376612,99.95643571527198,-1.1242699128709184,0.9999998345699226
0,3.6827884376173916,-1.674371245040939,1.132132025769229,4.049301734195522,-0.2734830815991163,-2.9812294803737815,1.5803624653825987,-0.23259317527735002,1.7377201424015882,0.999999748761387
1,-1.7580925586935452,-3.1716547590498094,0.11591259191440217,1.226195463518573,-1.4922108083318113,3.430104060216474,1.9174487143972818,-0.00821183183905286,0.6588226239142445,1.0000011966426092
0,0.9536897755759357,1.3382668279501577,-0.9853125812845712,2.514300875576471,2.151669234389028,-0.9755389345857154,-0.5627956163476897,-0.4645206515505993,-0.07354972723873389,0.9999999673154576
1,2.5218075858883084,2.3002698511328696,3.0664370386800464,2.7397964237679426,-0.49973654148635904,0.06732826849836626,0.3845928999258801,-0.24831092082167863,-0.6682155203602226,0.9999984916448689
0,3.085010088898312,3.028431490500481,1.9471322072268127,0.2582601104837554,0.03375069510744155,-0.7157982014087703,2.521729746141609,-1.9107794844296624,,0.9999987738524678
1,-0.47225076878074823,-1.1255201829523984,2.832646913401373,-0.48232853187166624,-2.0330169429756184,-0.1313804790926696,0.5582099280002464,-1.9775519818330827,-1.7853014048662097,1.000001189585569
1,1.723205367351944,1.3708880638441445,-3.270705595423559,-0.71673637887232,1.6211415739191217,-1.299050561994859,1.9995258008941639,-0.04769397261776305,1.560847120627776,1.0000014593681679
